NUMBER,NAME,LOCATION,TYPE,General Observations,SUMMIT CRATER,Crater Observations,Underwater Extent,Latitude,Longitude,Elevation Min (m),Elevation Max (m),Basal Area (km2),Basal Width (km),Minor Basal Axis (km),Major Basal Axis (km),Summit Area (km2),Summit Width (km),Height (km),Height Max (km),Volume (km3),Volume Max (km3),Height / Basal width,Summit width / Basal width,Ellipticity index [outline],Irregularity index [outline],Ellipticity index [avg. contours],Irregularity index [avg. contours],Mean Slope [total] (º),Mean Slope [flank] (º),Mean Slope [low flank] (º),Mean Slope [main flank] (º),Mean Slope [summit] (º),Max. Avg. Slope (º),Max. Avg. Slope Height Fraction,Azimuth Major Basal Axis (º),Avg. Azimuth Elevation contours (º),Sec. Peaks [total],Sec. Peaks [flank],Sec. Peaks [summit],Holes [total],Holes [flank],Holes [summit],Contours [flank],Contours [summit],Elevation Lowest Contour (m),Elevation Fraction Lowest Contour,Width Lowest Contour (m),Elevation Summit Region Contour (m),Elevation Fraction Summit Region Contour,Crater Elevation Min (m),Crater Elevation Min [fraction],Crater Area (km2),Crater Width (km),Major Crater Axis (km),Azimuth Major Crater Axis (º),Crater Depth (km),Crater Depth Max (km),Crater Volume (km3),Crater Volume Max (km3),Ellipticity index [crater outline],Irregularity index [crater outline],Crater Depth / Crater Width,Crater Width / Edifice Width,Crater Depth / Edifice Height,Crater Volume / Edifice Volume,Mean Crater Slope (º)
0403-101,Tafahi,Tonga-SW Pacific,Stratovolcano,,NO,,Totally,-15.853,-173.748,0,535,3.45,2.10,1.48,2.69,0.05,0.25,0.51,0.54,0.59,0.66,0.244,0.119,1.73,1.12,1.48,1.02,25.8,26.0,22.8,27.5,17.5,31.7,0.65,159,152,0,0,0,0,0,0,9,0,100,0.19,1.77,500,0.93, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0403-11=,Niuafo'ou,Tonga-SW Pacific,Shield volcano,,YES,Crater considered as summit region,Totally,-15.583,-175.626,0,210,52.5,8.18,7.56,8.71,21.7,5.26,0.21,0.21,2.1,2.3,0.025,0.643,1.16,1.07,1.29,1.08,4.9,4.9,3.9,6.2,ND,3.9,0.24,74,62,0,0,ND,0,0,ND,1,ND,50,0.24,6.74,crater,ND,6,0.03,21.7,5.26,5.67,57,0.16,0.20,2.17,4.02,1.16,1.10,0.03,0.64,0.78,1.03,5.7
0404-001,Ta'u,Samoa-SW Pacific,Shield volcano,,NO,,Totally,-14.233,-169.455,0,944,43.0,7.40,3.97,10.3,7.84,3.16,0.91,0.94,15.4,16.6,0.123,0.427,1.94,1.23,2.16,1.26,19.4,20.1,19.5,20.2,16.6,23.9,0.64,111,86,2,2,0,2,2,0,12,5,100,0.11,6.95,650,0.69, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0404-03-,Upolu,Samoa-SW Pacific,Shield volcano,,NO,,Totally,-13.939,-171.731,0,1143,1150,38.2,19.5,71.5,5.96,2.75,1.14,1.14,300,300,0.030,0.072,3.55,1.38,5.23,2.25,7.6,7.6,3.5,9.6,12.6,16.7,0.88,102,105,98,90,8,12,12,0,19,2,100,0.09,31.4,1000,0.88, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0404-04=,Savai'i,Samoa-SW Pacific,Shield volcano,,NO,,Totally,-13.619,-172.487,0,1848,1650,45.9,35.7,66.6,53.9,8.28,1.84,1.85,780,790,0.040,0.180,2.11,1.28,2.61,1.26,5.7,5.7,2.5,6.9,5.9,9.8,0.65,104,101,82,67,15,7,7,0,30,5,100,0.05,39.7,1550,0.84, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0404-05-,Wallis Islands,SW Pacific,Shield volcanoes,,NO,Several small craters,Totally,-13.275,-176.207,0,147,72.0,9.58,5.30,13.0,17.6,4.73,0.14,0.15,2.6,3.1,0.015,0.494,1.85,1.27,2.02,1.32,2.6,2.3,2.3,ND,3.4,2.3,0.35,4,48,7,4,3,3,3,0,1,1,50,0.35,4.73,50,0.35, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0405-01-,Taveuni,Fiji Is-SW Pacific,Shield volcano,,NO,,Totally,-16.899,179.988,0,1197,356,21.3,13.7,31.3,50.6,8.03,1.16,1.20,143,153,0.055,0.377,2.23,1.18,4.07,1.39,10.4,10.3,9.3,11.1,11.1,11.8,0.42,33,37,30,16,14,1,1,0,11,7,300,0.25,16.6,800,0.67, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0500-01=,St. Andrew Strait,Admiralty Is-SW Pacific,Complex volcano,Almost no positive topography; closed elevation contour(s) not representative,NO,,Totally,-2.389,147.369,0,224,19.0,4.92,3.35,6.03,0.58,0.86,0.19,0.22,1.4,1.7,0.038,0.175,1.61,1.21,1.69,1.18,7.6,7.7,7.7,7.6,4.4,9.7,0.67,93,115,3,3,0,0,0,0,2,0,150,0.67,1.51,200,0.89, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0500-02-,Baluan,Admiralty Is-SW Pacific,Stratovolcano,,YES,Crater considered as summit region,Totally,-2.559,147.289,0,248,14.8,4.34,3.76,5.10,0.58,0.86,0.25,0.25,1.2,1.2,0.057,0.199,1.49,1.11,1.29,1.07,7.1,7.1,5.5,8.3,ND,9.0,0.60,57,53,2,2,ND,0,0,ND,3,ND,50,0.20,3.37,crater,ND,151,0.61,0.58,0.86,1.03,142,0.07,0.10,0.03,0.04,1.42,1.06,0.08,0.20,0.29,0.02,9.9
0501-001,Blup Blup,New Guinea-NE of,Stratovolcano,,NO,Small crater,Totally,-3.505,144.606,0,379,6.53,2.88,2.07,3.70,1.00,1.13,0.38,0.38,0.77,0.78,0.131,0.392,1.70,1.16,1.91,1.14,16.2,15.6,9.9,20.5,19.5,22.8,0.53,96,109,2,1,1,2,2,0,5,2,50,0.13,2.32,250,0.66, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0501-01=,Bam,New Guinea-NE of,Stratovolcano,,NO,,Totally,-3.613,144.819,0,629,7.64,3.12,2.81,3.44,0.26,0.58,0.63,0.63,1.43,1.43,0.201,0.185,1.28,1.11,1.41,1.06,21.1,21.1,10.1,26.6,20.0,29.6,0.72,81,107,2,1,1,0,0,0,11,1,50,0.08,2.63,550,0.87, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0501-02=,Manam,New Guinea-NE of,Stratovolcano,,NO,,Totally,-4.079,145.038,0,1749,82.7,10.3,9.77,11.1,0.08,0.31,1.75,1.75,30.0,30.3,0.170,0.031,1.17,1.09,1.36,1.12,15.1,15.1,6.5,16.8,18.8,35.5,0.86,129,165,0,0,0,0,0,0,34,0,50,0.03,9.47,1700,0.97, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0501-03=,Karkar,New Guinea-NE of,Stratovolcano,,YES,Two nested craters,Totally,-4.678,145.977,0,1807,404,22.7,19.2,26.3,61.4,8.84,1.81,1.81,156,157,0.080,0.390,1.41,1.11,1.52,1.38,9.5,8.2,3.0,9.7,21.6,21.7,0.50,24,4,10,10,0,0,0,0,18,10,50,0.03,20.5,900,0.50,955,0.53,23.4,5.46,5.99,36,0.41,0.56,3.14,8.47,1.21,1.09,0.07,0.24,0.23,0.02,11.8
0501-05=,Long Island,New Guinea-NE of,Complex volcano,,YES,Crater considered as summit region,Totally,-5.257,147.090,0,1266,405,22.7,18.5,26.8,112,11.9,1.26,1.27,96,99,0.055,0.525,1.43,1.20,1.60,1.62,9.3,9.3,5.1,11.3,ND,8.2,0.12,130,147,17,17,ND,6,6,ND,2,ND,100,0.08,20.1,crater,ND,143,0.11,112,11.9,13.9,108,0.36,0.45,19.8,38.1,1.36,1.12,0.03,0.53,0.28,0.21,5.7
0501-06=,Umboi [Talo],New Guinea-NE of,[Stratovolcano],"Only Talo, main edifice of complex, is considered",YES,,No,-5.574,147.915,280,1330,22.7,5.37,4.62,6.24,1.97,1.59,0.80,1.05,5.7,11.2,0.149,0.295,1.46,1.15,1.94,1.06,18.7,18.6,16.1,23.7,20.7,27.6,0.83,57,79,2,2,0,0,0,0,8,2,800,0.50,3.40,1150,0.83,1140,0.82,0.49,0.79,0.97,124,0.12,0.18,0.04,0.07,1.52,1.06,0.15,0.15,0.15,0.01,16.6
0501-08=,Sakar,New Guinea-NE of,Stratovolcano,Possible artificial 'sink' in SRTM DEM,YES,,Totally,-5.404,148.079,0,948,42.3,7.34,6.30,8.42,4.82,2.48,0.94,0.95,12.1,12.7,0.127,0.338,1.44,1.11,1.33,1.35,17.3,16.9,10.0,20.1,20.8,24.7,0.69,172,143,3,3,0,1,1,0,12,0,100,0.11,6.31,650,0.69,627,0.66,1.07,1.16,1.37,148,0.18,0.31,0.10,0.23,1.39,1.12,0.15,0.16,0.19,0.01,19.6
0502-01=,Langila,New Britain-SW Pac,Complex volcano,,NO,,No,-5.538,148.392,186,1792,54.8,8.35,6.72,9.51,1.05,1.16,1.23,1.61,16.3,36.2,0.148,0.139,1.33,1.24,1.98,1.30,17.3,17.1,14.7,23.9,24.2,30.0,0.85,126,154,7,5,2,0,0,0,12,3,1050,0.54,4.43,1600,0.88, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0502-05=,Bola,New Britain-SW Pac,Stratovolcano,,NO,,No,-5.143,150.037,42,1107,14.5,4.29,3.40,5.69,0.13,0.41,0.87,1.07,3.1,5.6,0.202,0.095,1.79,1.20,1.27,1.02,20.4,20.5,15.4,27.3,18.3,32.1,0.76,173,15,0,0,0,0,0,0,14,1,400,0.34,2.88,1050,0.95, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0502-07=,Garbuna Group,New Britain-SW Pac,Stratovolcanoes,Summit region includes two peaks,NO,,No,-5.417,150.026,88,1062,73.7,9.69,7.16,12.3,16.7,4.62,0.75,0.97,14.5,26.8,0.078,0.476,1.64,1.20,2.39,1.44,11.6,10.7,10.2,11.6,14.8,11.9,0.37,162,177,9,3,6,0,0,0,4,9,450,0.37,6.73,600,0.53, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
